c,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,                                                                                                             BẢNG TỔNG HỢP KẾ HOẠCH - TIẾN ĐỘ CÁC HẠNG MỤC THI CÔNG GIAI ĐOẠN 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Công việc dang dở ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Công việc hoàn thành ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Công việc trễ tiến độ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giám sát phụ trách,,Hạng mục công trình,Mục tiêu giao việc của cấp trên,Tổng thời gian ,Bắt đầu,Kết thúc ,Tuần 1,,,,,Tuần 2,,,,,,,Tuần 3,,,,,,,Tuần 4,,,,,,,Tuần 5,,,,,% Tiến độ thực tế/ % tiến độ đề ra của nhà thầu,"Ghi chú 
(vướng mắc, đề xuất, công việc tồn đọng)","Nhận xét báo
 cáo ngày"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,01/07/2026,02/07/2026,03/07/2026,04/07/2026,05/07/2026,06/07/2026,07/07/2026,08/07/2026,09/07/2026,10/07/2026,11/07/2026,12/07/2026,13/07/2026,14/07/2026,15/07/2026,16/07/2026,17/07/2026,18/07/2026,19/07/2026,20/07/2026,21/07/2026,22/07/2026,23/07/2026,24/07/2026,25/07/2026,26/07/2026,27/07/2026,28/07/2026,29/07/2026,30/07/2026,31/07/2026,,,
,I,HẠ TẦNG KỸ THUẬT TOÀN DỰ ÁN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HM Xây dựng các hạng mục tạm phục vụ thi công ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Đường tạm công vụ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hệ thống điện PHỤC vụ thi công ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hệ thống nước phục vụ thi công ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mr. Lam
buiquoclamtd@gmail.com",,CÔNG TÁC TRẮC ĐẠC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HM San Lấp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dự toán khối lượng san lấp GĐ2 toàn dự án ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,- Tính khối lượng san lấp của các khu còn lại ( các khu chưa thi công),,8 ngày,04-Thg3,13-Thg3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Định vị cao độ, cắm tuyến các con đường trên khu HVCX","Định vị cao độ, cắm tuyến các con đường trên khu HVCX, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kiểm tra và cân bằng san lấp ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kiểm tra mốc định kỳ,,1 ngày,05/05,05/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Thi công đường tạm ra kè chắn sóng,,10 ngày,18/05,29/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80%,Trễ tiến độ do phụ thuộc vào triều cường của biển nên chưa thi công đc,
,,HM TƯỜNG RÀO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Hồng ,,Nghiệm thu bàn giao HM vào sử dụng ,,40 ngày,04/03/2026,14/04/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nhà thầu đang làm Quyết toán + Hoàn công,,15 ngày,23/04/2026,08/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90%,,
H.Vân,,Biên bản nghiệm thu kỹ thuật gói thầu số 01 ngày 13/03/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BB NT ky thuat goi thau so 1.pdf,
,,Kế hoạch biện pháp thi công xử lý vết bị răn nứt 16/03/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KE HOACH BIEN PHAP THI CONG TUONG RAO.pdf,
,,Hồ sơ thanh toán phát sinh theo chỉ thị  ( đã bàn giao cho Hiếu ),,,23/03/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Giấy mời nghiệm thu bàn giao công trình đưa vào sử dụng (1/04/2026),,,30/03/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bb nghiem thu dua vao su dung goi 1 HR.pdf,
,,BB nghiệm thu hoàn thành công trình bàn giao đưa vào sử dụng. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBNT HOAN THANH DUA VAO SU DUNG GOI THAU SO 1.pdf,
,,Giấy cam kết defect khắc phục ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,giay cam ket khac phuc xu ly vị tri ran nut hang rao.pdf,
,,Công văn xử lý khối lượng thanh toán để thi công xây dựng nhận ngày 16/04/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Công văn xử lý vết nứt và đề nghị thời gian xử lý vết nứt không tính thời gian hợp đồng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV số 03 (XL vết nứt và không tính thời gian XL vào HĐ).pdf,
,,"Công văn xử lý khối lượng thanh toán để thi công xây dựng nhận ngày 28/04/2026, 1 bộ bản vẽ hoàn công A1 và 
2 bộ bản vẽ hoàn công A3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Hồng ,,Defect những vị trí bị nứt theo Biên bản nghiệm thu kỹ thuật gói thầu số 01 ngày 13/03/2026,,15 ngày,18/03/2026,02/04/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Nhà thầu triền khai defect: 
Dùng máy cắt đục mở rộng vết nứt. 
Vệ sinh sạch bụi bẩn. 
Bắn trét sika chuyên dụng xử lí vết nứt vào khe cắt. 
Chờ khô trà bả bột trét. 
Lăn sơn nước 1 lót 2 màu hoàn thiện
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nhà thầu đang làm Quyết Toán + Hoàn công,
Mr. Trọng,I,HM KÈ BIỂN GIAI ĐOẠN 1,"Yêu cầu nhà thầu bàn giao hạng mục vào sử dụng, làm hồ sơ quyết toán  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yêu cầu nhà thầu bàn giao công trình đưa vào sử dụng ,
Trọng Hiếu,,Kiểm tra Khối lượng phát sinh hạng mục tường rào,,3 ngày,04/05/2026,06/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,
,,"Xử lý vết nứt, Co ngót Bê tông thành, đỉnh giằng mương. ",,,,14/5/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,Chưa báo cáo cụ thể hằng ngày
,,"Nhà thầu mời nghiệm thu Xử lý vết nứt, Co ngót Bê tông thành, đỉnh giằng mương vào lúc 8h30 ngày 15/05/2026",,,,15/5/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,
Trọng Hiếu,,Kiểm HSQT + HSTT nhà thầu Tuấn Tú + Đồng Tú,,2 ngày,03/06/2026,04/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,
,, Nhà thầu mời Nghiệm thu bàn giao công trình vào lúc 15h ngày 18/05/2026.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,
,,Đang kiểm tra KL + HS hoàn công,yêu cầu làm hs quyét toán ,7 ngày,28/05/2026,4/6/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Long - Toàn,I.1,HM KÈ BIỂN 1 ĐOẠN 2+3,,,,13/9/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HỒ SƠ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bảng tiến độ + BPTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trọng Hiếu
tronghieushdk@gmail.com",,Phát sinh khối lượng do thiết kế bổ sung,,1 ngày,06/04/2026,06/04/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
